timestamp,time,T_Block2_CorridorX2f,T_Block1_OfficeXSEX1f,Electricity,DistrictCooling,T_Block1_CorridorX1f,T_Block2_OfficeXNWX2f,T_Block1_OfficeXSWX1f,DNI,Wind_Direction,DistrictHeating,T_Block2_OfficeXNEX2f,T_Block2_OfficeXSEX2f,T_Block2_OfficeXSWX2f,T_Block1_OfficeXNWX1f,Wind_Speed,T_Block1_OfficeXNEX1f,T_out,reward
1994-09-28 14:00:00,23378400.0,27.86356487340439,31.71963708298723,1316474.31168,0.0,27.7723199735153,28.25019990247672,31.71963708298883,790.0,157.0,0.0,28.25019990245581,32.03965489584296,32.03965489584319,28.11812234069514,2.2,28.11812234068742,28.3,-1
1994-09-28 15:00:00,23382000.0,28.0457283664955,31.24992518691102,2632948.62336,0.0,27.89779757836047,28.25565393656353,31.24992518691202,704.0,182.0,0.0,28.2556539365432,31.6687270558767,31.66872705587724,28.08359882585494,3.9,28.08359882584745,28.4,-1
1994-09-28 16:00:00,23385600.0,28.20942667004861,30.71797836476505,2632948.62336,0.0,28.00213060026869,28.22869807802978,30.7179783647665,677.0,147.0,0.0,28.22869807801061,31.16485719387469,31.16485719387574,28.02507797795197,5.7,28.02507797794441,27.9,-1
1994-09-28 17:00:00,23389200.0,28.25456904558226,30.01811037097956,3949422.93504,0.0,28.00378305600568,28.03471991103631,30.01811037098127,484.0,162.0,0.0,28.03471991101789,30.42833205524537,30.42833205524767,27.82392853752426,5.7,27.82392853751654,26.9,-1
1994-09-28 18:00:00,23392800.0,28.22923991827558,29.61414801671177,2632948.62336,0.0,27.95879527214253,27.79413187851478,29.61414801671357,0.0,103.0,0.0,27.79413187849757,29.9979652413062,29.99796524130891,27.59912054055456,5.5,27.59912054054856,25.6,-1
1994-09-28 19:00:00,23396400.0,28.19645523790365,29.26692700954344,2632948.62336,0.0,27.90990290001876,27.56494293253022,29.26692700954504,0.0,148.0,0.0,27.56494293251716,29.60826898849013,29.60826898849295,27.35908454425417,4.7,27.35908454424767,24.8,-1
1994-09-28 20:00:00,23400000.0,28.15991711192611,29.13960250284748,1316474.31168,0.0,27.85479548402433,27.46089743776267,29.13960250284934,0.0,95.0,0.0,27.46089743774879,29.4278037274135,29.42780372741716,27.26235942155585,4.7,27.26235942154913,24.1,-1
1994-09-28 21:00:00,23403600.0,28.10446816794752,29.0568396010765,1316474.31168,0.0,27.7994363620143,27.37829476781967,29.05683960107847,0.0,65.0,0.0,27.37829476780524,29.29399209781748,29.29399209782209,27.19894300222941,4.0,27.19894300222292,23.4,-1
1994-09-28 22:00:00,23407200.0,28.02565665831652,28.93028203692793,1316474.31168,0.0,27.7487154910856,27.26003383229801,28.93028203692994,0.0,75.0,0.0,27.26003383228459,29.12327247120008,29.12327247120528,27.1012733361227,2.8,27.10127333611675,22.6,-1
1994-09-28 23:00:00,23410800.0,27.95829542827659,28.8008435997106,1316474.31168,0.0,27.7039714004203,27.1386364748578,28.8008435997126,0.0,89.0,0.0,27.13863647484548,28.95305981677347,28.953059816779,27.00084389553091,2.0,27.00084389552542,21.9,-1
1994-09-29 00:00:00,23414400.0,27.87894281270259,28.67179061167107,1316474.31168,0.0,27.64913972162535,27.01358510767697,28.6717906116731,0.0,93.0,0.0,27.01358510766551,28.78491759360794,28.78491759361386,26.89861487242255,1.0,26.89861487241767,21.1,-1
1994-09-29 01:00:00,23418000.0,27.8061839749716,28.56389229132779,1316474.31168,0.0,27.60610507485175,26.90909147024803,28.56389229132985,0.0,94.0,0.0,26.90909147023723,28.64020999986747,28.64020999987346,26.81800641227726,1.3,26.81800641227286,20.6,-1
1994-09-29 02:00:00,23421600.0,27.73059870424029,28.45941277462561,1316474.31168,0.0,27.56195646329716,26.80863123444409,28.45941277462771,0.0,16.0,0.0,26.80863123443414,28.50167517925208,28.50167517925824,26.74122886124054,1.4,26.74122886123649,20.1,-1
1994-09-29 03:00:00,23425200.0,27.66630467232707,28.37303140758385,1316474.31168,0.0,27.52915991943787,26.72750141797324,28.37303140758593,0.0,60.0,0.0,26.72750141796424,28.38407897493937,28.38407897494539,26.68307069377543,1.5,26.68307069377182,19.9,-1
1994-09-29 04:00:00,23428800.0,27.5950986448865,28.28261882168627,1316474.31168,0.0,27.48912065332506,26.64295154657353,28.28261882168863,0.0,76.0,0.0,26.64295154656548,28.26519152792205,28.26519152792813,26.62054867538498,0.7,26.62054867538193,19.6,-1
1994-09-29 05:00:00,23432400.0,27.52441016967578,28.19458409235635,1316474.31168,0.0,27.44874252510936,26.56188005678729,28.19458409235892,0.0,90.0,0.0,26.56188005677999,28.15134000793317,28.15134000793923,26.56020956134535,0.4,26.56020956134281,19.4,-1
1994-09-29 06:00:00,23436000.0,27.46555920974086,28.12422191197387,1316474.31168,0.0,27.41893829996368,26.5003263513088,28.12422191197648,0.0,97.0,0.0,26.50032635130257,28.05772567923026,28.05772567923644,26.51791219864046,0.5,26.51791219863814,19.4,-1
1994-09-29 07:00:00,23439600.0,27.48419773147504,28.22960915249605,1316474.31168,0.0,27.46439127540998,26.58136119074589,28.2296091524991,417.0,72.0,0.0,26.58136119074045,28.14884166936529,28.14884166937152,26.61246540277385,0.3,26.61246540277213,20.6,-1
1994-09-29 08:00:00,23443200.0,27.56608860793535,28.57050291114066,2632948.62336,0.0,27.56652436546662,26.76427602799403,28.57050291114396,661.0,61.0,0.0,26.76427602798898,28.49456061334249,28.4945606133487,26.79754744267954,0.5,26.79754744267827,22.3,-1
1994-09-29 09:00:00,23446800.0,27.69266700926075,29.11168818496521,2632948.62336,0.0,27.71052676303139,27.02226958667988,29.11168818496843,773.0,90.0,0.0,27.02226958667542,29.05477623750068,29.05477623750699,27.05261376383915,0.5,27.05261376383836,24.1,-1
1994-09-29 10:00:00,23450400.0,27.86464570409908,29.70090557836545,3949422.93504,0.0,27.88546458773225,27.27198635006546,29.70090557836847,839.0,169.0,0.0,27.27198635006144,29.67049949038975,29.67049949039558,27.28994520058805,0.6,27.2899452005876,25.8,-1
1994-09-29 11:00:00,23454000.0,28.1168663354971,30.43290904575365,3949422.93504,0.0,28.15111818714729,27.67985270620127,30.43290904575783,862.0,249.0,0.0,27.67985270619744,30.47344085934782,30.47344085935507,27.69082814850462,1.0,27.69082814851025,27.4,-1
1994-09-29 12:00:00,23457600.0,28.31069900071969,33.08898089731591,11848268.80512,0.0,28.30170230666086,28.18840826375896,33.08898089731944,833.0,231.0,0.0,28.18840826375432,33.17765432258089,33.17765432258771,28.13882260161549,3.1,28.13882260161401,28.6,-1
